type,time,milli_volts,milli_amps
blake3,idle,5048,624
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,632
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
blake3,idle,5048,640
